"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","DF0000176_4_HERV-Fc1",6.74284105840901e-10,3.51302019143109e-07,45.6465425422958,86.3773831870242,3,3.43591669537859,4.31886915935121,0.0408037709231489,4.27806538842806,0.251439446130428,4.27806538842806
"2","DF0000244_4_L1M3_orf2",3.50195799940678e-09,6.08173372563644e-07,42.278309797805,8.90502439467702,3,5.3043796390574,0.445251219733851,0.00857578211089248,0.436675437622958,0.128031419899144,0.436675437622958
"3","DF0001197_2_AluYi6",3.10469531074292e-09,6.08173372563644e-07,42.5246770587085,6.94958038377667,3,7.11446323231875,0.347479019188834,0.0033923416411264,0.344086677547707,0.149430458249386,0.344086677547707
"4","DF0001070_4_SVA_D",5.20729668105669e-09,6.78250392707634e-07,41.4663055827299,17.7371252968911,3,7.62120448381467,0.886856264844554,0.00112901632486313,0.885727248519692,0.164391508547928,0.885727248519692
"5","DF0000817_4_THE1-int",6.86497025741178e-09,7.15329900822307e-07,40.9004468327106,11.4950801260221,3,7.53642220617118,0.574754006301105,0.000732139473215861,0.57402186682789,0.161374709822821,0.57402186682789
"6","DF0000081_4_Charlie10",4.80278232097228e-08,1.92480737632812e-06,36.9120614549433,67.8606585675979,3,1.49458905691975,3.3930329283799,0.172361949041875,3.22067097933802,0.797496455963038,3.22067097933802
"7","DF0000191_5_HERVK13",2.36486334132381e-08,1.92480737632812e-06,38.365732478803,30.6524838081701,3,4.42079966241993,1.53262419040851,0.0455365517772287,1.48708763863128,0.161370436638987,1.48708763863128
"8","DF0000194_5_HERVK22",3.63243709006026e-08,1.92480737632812e-06,37.4852863141825,11.5916272585727,3,4.92833915711282,0.579581362928636,0.0117671001331224,0.567814262795514,0.136568802723354,0.567814262795514
"9","DF0000224_4_Kanga2_a",4.31918790421687e-08,1.92480737632812e-06,37.1299071143232,34.2282218143108,3,1.7387123552771,1.71141109071554,0.121926952784454,1.58948413793109,0.672557717988561,1.58948413793109
"10","DF0000285_4_L1MC_orf2",4.3245111070715e-08,1.92480737632812e-06,37.1273790344658,19.7085614380829,3,5.21625403120328,0.985428071904147,0.0118843041402289,0.973543767763918,0.129085604084889,0.973543767763918
"11","DF0000286_4_L1MD1_3end",4.19463234914835e-08,1.92480737632812e-06,37.1899660776157,12.3114014729447,3,5.15244729385267,0.615570073647234,0.0223028080885456,0.593267265558689,0.130229790255484,0.593267265558689
"12","DF0001145_2_AluYk3",3.75664447279834e-08,1.92480737632812e-06,37.4162906371016,8.63237990147351,3,7.01182551295415,0.431618995073676,0.00744405747043493,0.424174937603241,0.147233493924525,0.424174937603241
